pm2.5,pm10,so2,no2,co,dewp,wspm,label
43.0,78.0,4.0,88.0,800.0,22.8,1.4,2.0
58.0,127.0,4.0,116.0,1000.0,22.8,1.7,3.0
61.0,92.0,5.0,89.0,900.0,22.6,3.6,3.0
71.0,139.0,4.0,90.0,900.0,23.1,2.3,3.0
92.0,131.0,8.0,64.0,1100.0,22.8,1.2,3.0
97.0,131.0,6.0,60.0,1000.0,22.9,0.6,3.0
86.0,102.0,7.0,59.0,800.0,22.8,0.5,3.0
72.0,77.0,6.0,62.0,800.0,22.7,1.3,3.0
56.0,74.0,6.0,79.0,700.0,22.5,0.8,3.0
86.0,146.0,5.0,80.0,900.0,22.1,0.8,3.0
117.0,172.0,5.0,72.0,1100.0,22.1,0.0,3.0
120.0,144.0,4.0,66.0,1100.0,22.7,1.2,3.0
142.0,163.0,6.0,77.0,1200.0,23.6,1.2,4.0
157.0,182.0,7.0,86.0,1200.0,24.0,0.9,4.0
172.0,198.0,9.0,82.0,1200.0,22.7,1.4,4.0
180.0,203.0,10.0,73.0,1200.0,24.1,1.3,4.0
167.0,203.0,10.0,64.0,1100.0,23.3,1.1,4.0
166.0,147.0,12.0,67.0,1200.0,24.1,1.5,4.0
189.0,213.0,11.0,84.0,1300.0,23.1,2.2,4.0
189.0,213.0,11.0,84.0,1100.0,22.3,2.5,4.0
89.0,26.0,11.0,38.0,700.0,23.3,2.5,3.0
71.0,58.0,9.0,36.0,600.0,24.7,2.1,3.0
57.0,51.0,7.0,34.0,500.0,24.4,2.3,3.0
55.0,60.0,6.0,34.0,500.0,24.1,1.9,2.0
81.0,110.0,5.0,39.0,700.0,25.0,1.9,3.0
81.0,110.0,5.0,39.0,800.0,24.8,1.4,3.0
131.0,160.0,5.0,47.0,1000.0,24.5,1.4,4.0
105.0,106.0,7.0,42.0,800.0,25.2,0.7,3.0
92.0,103.0,9.0,42.0,800.0,19.9,1.1,3.0
67.0,127.0,7.0,31.0,500.0,20.9,0.8,3.0
13.0,13.0,3.0,26.0,200.0,21.0,1.0,1.0
9.0,9.0,3.0,50.0,300.0,21.3,0.8,0.0
3.0,3.0,3.0,33.0,300.0,20.9,0.7,0.0
16.0,16.0,5.0,33.0,200.0,21.2,0.0,1.0
16.0,15.0,3.0,38.0,300.0,21.8,1.0,1.0
14.0,3.0,3.0,54.0,300.0,22.5,0.8,1.0
18.0,20.0,3.0,74.0,400.0,21.9,1.5,1.0
29.0,46.0,5.0,83.0,600.0,21.7,0.1,1.0
33.0,29.0,7.0,76.0,500.0,21.7,1.3,1.0
30.0,38.0,6.0,75.0,500.0,22.6,1.2,1.0
43.0,69.0,9.0,89.0,600.0,23.3,0.9,2.0
45.0,56.0,8.0,71.0,600.0,22.5,3.0,2.0
46.0,58.0,9.0,41.0,500.0,23.2,2.2,2.0
59.0,92.0,12.0,36.0,600.0,23.7,1.6,3.0
70.0,127.0,13.0,34.0,600.0,24.4,1.7,3.0
80.0,121.0,12.0,38.0,700.0,25.3,1.6,3.0
83.0,115.0,8.0,36.0,800.0,25.6,1.0,3.0
102.0,140.0,8.0,37.0,900.0,26.4,0.6,3.0
117.0,198.0,8.0,54.0,900.0,21.3,4.3,3.0
89.0,198.0,8.0,42.0,700.0,20.8,4.1,3.0
19.0,19.0,3.0,18.0,300.0,22.1,1.3,1.0
19.0,32.0,3.0,24.0,300.0,22.3,2.0,1.0
31.0,32.0,3.0,42.0,500.0,21.9,1.2,1.0
32.0,10.0,3.0,39.0,400.0,21.4,1.2,1.0
28.0,28.0,3.0,36.0,300.0,21.0,1.8,1.0
21.0,21.0,3.0,37.0,300.0,20.6,0.8,1.0
22.0,7.0,3.0,26.0,200.0,20.5,0.5,1.0
22.0,10.0,3.0,26.0,300.0,20.4,0.0,1.0
25.0,21.0,3.0,42.0,300.0,21.0,0.5,1.0
30.0,19.0,3.0,42.0,300.0,21.8,1.3,1.0
36.0,19.0,3.0,35.0,300.0,22.1,1.3,2.0
41.0,34.0,4.0,37.0,400.0,21.3,1.5,2.0
38.0,28.0,3.0,30.0,400.0,21.5,1.0,2.0
38.0,30.0,3.0,30.0,400.0,22.4,0.7,2.0
39.0,49.0,2.856,57.484,400.0,22.0,1.1,2.0
47.0,56.0,3.0,77.0,700.0,21.9,0.6,2.0
46.0,45.0,3.0,83.0,900.0,22.2,1.2,2.0
52.0,20.0,3.0,77.0,900.0,21.9,1.0,2.0
45.0,24.0,3.0,75.0,800.0,22.2,0.8,2.0
54.0,46.0,4.0,94.0,1000.0,21.2,0.7,2.0
56.0,51.0,3.0,86.0,900.0,22.4,0.4,3.0
64.0,45.0,4.0,89.0,1000.0,21.4,0.6,3.0
59.0,67.0,4.0,79.0,900.0,21.7,1.1,3.0
61.0,61.0,3.0,82.0,800.0,21.9,0.0,3.0
54.0,61.0,4.0,98.0,800.0,21.8,0.9,2.0
68.0,76.0,6.0,123.0,1000.0,22.0,0.5,3.0
65.0,76.0,5.0,118.0,1100.0,21.7,0.5,3.0
65.0,76.0,6.0,114.0,1200.0,21.8,0.8,3.0
61.0,68.0,3.0,108.0,1100.0,21.6,0.9,3.0
75.0,68.0,7.0,104.0,1100.0,21.4,0.8,3.0
88.0,110.0,7.0,86.0,1100.0,21.0,0.6,3.0
67.0,110.0,5.0,73.0,800.0,21.0,0.7,3.0
51.0,54.0,5.0,65.0,700.0,21.0,0.0,2.0
47.0,54.0,5.0,60.0,600.0,22.1,0.6,2.0
46.0,40.0,5.0,48.0,600.0,22.1,0.8,2.0
59.0,59.0,6.0,50.0,600.0,22.6,1.6,3.0
61.0,59.0,6.0,37.0,600.0,21.9,1.0,3.0
75.0,69.0,8.0,37.0,800.0,22.1,0.7,3.0
83.0,76.0,13.0,37.0,1000.0,22.2,0.5,3.0
86.0,84.0,13.0,36.0,1000.0,22.1,1.1,3.0
100.0,89.0,11.0,43.0,1000.0,23.3,1.9,3.0
100.0,79.0,12.0,42.0,1100.0,23.6,1.0,3.0
95.0,86.0,11.0,32.0,1000.0,23.2,2.9,3.0
102.0,113.0,12.0,39.0,1000.0,22.7,2.8,3.0
113.0,113.0,9.0,38.0,1000.0,21.1,1.8,3.0
100.0,95.0,6.0,37.0,900.0,18.2,0.7,3.0
100.0,100.0,6.0,37.0,500.0,18.8,1.5,3.0
14.0,3.0,3.0,56.0,400.0,19.5,0.9,1.0
17.0,16.0,3.0,65.0,500.0,19.9,1.4,1.0
30.0,86.0,5.0,87.0,600.0,19.3,1.0,1.0
35.0,76.0,5.0,86.0,600.0,19.9,0.8,1.0
35.0,76.0,5.0,86.0,400.0,20.4,1.4,1.0
28.0,57.0,3.0,70.0,500.0,19.1,0.9,1.0
26.0,57.0,3.0,54.0,500.0,18.5,0.8,1.0
13.0,2.0,3.0,35.0,500.0,18.3,0.7,1.0
18.0,10.0,4.0,35.0,300.0,18.2,0.4,1.0
18.0,32.0,3.0,77.0,300.0,18.1,1.5,1.0
18.0,32.0,3.0,77.0,300.0,19.2,1.1,1.0
16.0,38.0,1.9992,49.272,300.0,19.3,0.7,1.0
16.0,41.0,2.5704,54.1992,300.0,19.5,1.1,1.0
22.0,45.0,3.4272,46.6031,300.0,17.1,0.5,1.0
17.0,31.0,3.1416,41.2653,300.0,18.0,1.3,1.0
20.0,54.0,3.7128,48.6561,300.0,19.0,1.2,1.0
26.0,39.0,2.856,45.5766,300.0,19.3,1.6,1.0
26.0,32.0,4.284,42.9077,300.0,18.8,3.4,1.0
27.0,41.0,2.856,27.0996,300.0,20.1,2.9,1.0
20.0,47.0,3.7128,23.6095,300.0,21.5,2.2,1.0
20.0,65.0,5.1408,22.9936,300.0,22.3,1.6,1.0
20.0,66.0,6.0,23.0,300.0,22.0,1.9,1.0
26.0,65.0,5.0,28.0,300.0,21.4,2.1,1.0
33.0,65.0,6.0,29.0,300.0,21.6,1.8,1.0
33.0,65.0,6.0,29.0,300.0,22.1,1.8,1.0
46.0,94.0,8.0,36.0,300.0,22.8,2.7,2.0
51.0,115.0,5.0,35.0,300.0,22.7,0.9,2.0
56.0,81.0,5.0,40.0,300.0,22.9,2.1,3.0
78.0,113.0,5.1408,53.5833,300.0,23.1,2.3,3.0
78.0,113.0,6.0,54.0,300.0,22.8,0.8,3.0
90.0,105.0,7.0,55.0,300.0,22.2,1.3,3.0
92.0,117.0,8.0,46.0,300.0,22.2,1.3,3.0
95.0,109.0,6.0,45.0,300.0,22.3,1.2,3.0
96.0,117.0,6.0,68.0,300.0,22.2,1.2,3.0
101.0,110.0,3.0,62.0,700.0,21.3,1.4,3.0
101.0,110.0,3.0,62.0,700.0,20.8,1.6,3.0
105.0,113.0,5.0,43.0,600.0,19.3,2.2,3.0
105.0,113.0,5.0,43.0,600.0,19.8,1.0,3.0
107.0,89.0,5.0,33.0,600.0,21.8,0.2,3.0
43.0,47.0,12.2808,36.1328,600.0,21.4,1.0,2.0
44.0,47.0,13.0,36.0,600.0,22.1,1.7,2.0
66.0,91.0,7.4256,35.1063,600.0,22.1,0.5,3.0
66.0,91.0,8.0,35.0,600.0,24.2,1.9,3.0
87.0,136.0,7.0,36.0,600.0,23.2,2.4,3.0
110.0,171.0,8.0,39.0,600.0,24.3,1.4,3.0
80.0,90.0,8.0,31.0,600.0,23.4,2.5,3.0
64.0,120.0,8.0,29.0,600.0,25.7,2.1,3.0
84.0,135.0,10.0,32.0,600.0,19.5,3.8,3.0
146.0,73.0,6.0,26.0,900.0,20.6,2.1,4.0
6.0,6.0,3.0,22.0,300.0,20.5,1.2,1.0
6.0,10.0,3.0,22.0,300.0,21.0,2.0,0.0
19.0,12.0,0.5712,47.6296,300.0,20.9,1.2,1.0
31.0,17.0,3.0,50.0,300.0,20.2,0.8,1.0
31.0,16.0,3.0,50.0,300.0,19.9,0.8,1.0
34.0,9.0,3.0,38.0,300.0,20.0,1.4,1.0
42.0,33.0,3.0,53.0,300.0,20.3,1.2,2.0
50.0,29.0,3.0,55.0,400.0,19.7,0.6,2.0
50.0,6.0,3.0,42.0,300.0,19.5,0.2,2.0
50.0,21.0,3.0,42.0,300.0,19.5,1.9,2.0
42.0,21.0,3.0,40.0,300.0,20.0,1.6,2.0
52.0,68.0,3.0,49.0,300.0,19.6,2.0,2.0
55.0,23.0,3.0,54.0,300.0,20.0,1.3,2.0
40.0,25.0,3.0,56.0,300.0,20.0,1.2,2.0
43.0,48.0,4.0,64.0,300.0,20.7,1.3,2.0
43.0,54.0,4.5696,51.9409,300.0,21.8,1.1,2.0
43.0,54.0,5.0,52.0,300.0,20.8,1.6,2.0
49.0,45.0,5.0,46.0,600.0,20.2,1.4,3.0
47.0,65.0,4.0,44.0,600.0,22.0,0.8,3.0
47.0,65.0,4.0,44.0,600.0,22.7,2.1,3.0
61.0,113.0,6.0,52.0,700.0,22.5,1.6,3.0
61.0,90.0,4.0,48.0,500.0,22.7,1.8,3.0
61.0,90.0,4.0,48.0,500.0,22.7,1.4,3.0
34.0,79.0,2.5704,43.113,500.0,23.1,1.1,1.0
36.0,61.0,1.9992,38.5964,500.0,23.4,0.7,2.0
36.0,62.0,3.0,39.0,500.0,23.3,1.2,2.0
45.0,63.0,3.0,62.0,500.0,23.6,0.0,2.0
45.0,63.0,3.0,62.0,500.0,23.5,0.0,2.0
55.0,88.0,5.0,52.0,400.0,23.2,0.9,2.0
55.0,88.0,5.0,52.0,400.0,23.5,0.7,2.0
83.0,187.0,1.7136,74.5239,400.0,23.6,0.8,3.0
87.0,177.0,4.284,74.5239,400.0,23.8,1.2,3.0
88.0,177.0,5.0,99.7758,400.0,23.6,1.5,3.0
97.0,167.0,4.0,100.0,400.0,23.7,0.9,3.0
126.0,144.0,3.9984,75.1398,400.0,23.7,1.7,4.0
135.0,163.0,3.9984,73.7027,400.0,24.0,0.9,4.0
138.0,177.0,4.5696,69.5967,400.0,24.3,0.9,4.0
145.0,202.0,3.7128,76.1663,400.0,24.2,0.6,4.0
155.0,195.0,4.5696,80.6829,400.0,25.5,1.9,4.0
156.0,195.0,5.0,81.0,400.0,25.2,1.8,4.0
187.0,212.0,5.0,83.0,1300.0,24.6,1.8,4.0
172.0,212.0,8.0,56.0,1100.0,24.4,1.4,4.0
172.0,107.0,8.0,56.0,1100.0,24.2,2.2,4.0
136.0,108.0,9.0,39.0,1100.0,24.7,1.9,4.0
135.0,197.0,8.0,36.0,1100.0,24.8,1.7,4.0
151.0,183.0,4.0,42.0,800.0,25.2,1.1,4.0
151.0,183.0,4.0,42.0,800.0,25.9,1.6,4.0
172.0,185.0,3.0,42.0,900.0,26.0,1.1,4.0
172.0,185.0,3.0,42.0,900.0,26.7,0.6,4.0
174.0,244.0,3.0,38.0,900.0,26.7,0.9,4.0
220.0,286.0,3.0,34.0,900.0,20.7,1.0,4.0
205.0,162.0,3.0,35.0,900.0,21.8,2.4,4.0
33.0,33.0,1.9992,29.1526,900.0,22.3,2.6,1.0
26.0,17.0,1.9992,19.7088,900.0,22.7,0.0,1.0
29.0,17.0,1.9992,23.1989,900.0,22.7,0.7,1.0
30.0,17.0,3.0,24.0,900.0,23.1,1.0,1.0
42.0,21.0,3.0,35.0,400.0,22.9,1.9,2.0
42.0,10.0,3.0,35.0,400.0,23.0,0.6,2.0
34.0,10.0,3.0,34.0,400.0,23.4,1.3,1.0
34.0,29.0,3.0,34.0,400.0,23.1,0.7,1.0
29.0,30.0,3.0,49.0,500.0,23.6,1.0,1.0
34.0,36.0,3.0,52.0,600.0,22.7,1.6,1.0
33.0,36.0,4.0,42.0,500.0,21.5,2.8,1.0
33.0,33.0,4.0,42.0,500.0,19.8,3.0,1.0
20.0,27.0,11.0,32.0,600.0,18.6,1.7,1.0
21.0,27.0,15.0,34.0,500.0,21.4,2.7,1.0
21.0,39.0,15.0,34.0,500.0,20.8,2.7,1.0
15.0,20.0,3.0,34.0,400.0,20.0,2.2,1.0
15.0,20.0,3.0,34.0,400.0,21.2,0.9,1.0
16.0,33.0,6.0,43.0,500.0,21.6,0.8,1.0
16.0,33.0,6.0,43.0,500.0,20.8,1.2,1.0
23.0,9.0,6.0,81.0,700.0,20.8,0.0,1.0
23.0,15.0,6.0,81.0,700.0,20.6,0.7,1.0
18.0,8.0,6.2832,72.0603,700.0,21.0,0.7,1.0
17.0,20.0,5.4264,62.8218,700.0,21.1,0.0,1.0
17.0,20.0,6.0,63.0,700.0,20.9,0.8,1.0
19.0,19.0,7.0,57.0,700.0,21.0,0.0,1.0
20.0,20.0,5.0,78.0,500.0,21.1,0.5,1.0
17.0,43.0,4.0,77.0,400.0,21.1,0.2,1.0
17.0,43.0,4.0,77.0,400.0,20.8,0.0,1.0
18.0,22.0,4.0,76.0,400.0,21.1,0.1,1.0
19.0,49.0,4.0,72.0,500.0,21.8,0.1,1.0
17.0,32.0,6.0,70.0,500.0,21.9,0.5,1.0
17.0,32.0,6.0,70.0,500.0,22.0,1.0,1.0
24.0,51.0,13.0,63.0,600.0,20.7,0.8,1.0
27.0,66.0,14.0,60.0,700.0,21.0,1.6,1.0
27.0,55.0,14.0,74.0,800.0,21.0,1.6,1.0
27.0,55.0,14.0,74.0,800.0,21.5,1.9,1.0
37.0,79.0,10.2816,65.696,800.0,20.8,1.8,2.0
45.0,74.0,6.0,42.0,600.0,21.3,3.0,2.0
45.0,74.0,6.0,42.0,600.0,22.3,1.9,2.0
35.0,53.0,7.9968,34.901,600.0,22.1,3.5,1.0
28.0,50.0,5.1408,39.2123,600.0,21.8,3.2,1.0
33.0,143.0,4.8552,44.1395,600.0,23.5,3.4,1.0
40.0,160.0,5.0,41.0,600.0,23.4,1.9,2.0
40.0,160.0,5.0,41.0,600.0,18.6,0.6,2.0
44.0,81.0,5.0,43.0,600.0,17.8,1.2,2.0
25.0,7.0,5.0,41.0,400.0,18.9,0.4,1.0
36.0,127.0,4.0,55.0,500.0,20.4,0.2,2.0
36.0,127.0,4.0,55.0,500.0,21.0,0.2,2.0
25.0,47.0,1.9992,70.6232,500.0,19.8,0.0,1.0
26.0,46.0,1.9992,84.0,400.0,20.1,0.0,1.0
26.0,46.0,2.856,84.0,400.0,20.4,0.7,1.0
22.0,38.0,4.0,55.0,200.0,20.3,1.1,1.0
22.0,38.0,4.0,50.9144,200.0,19.9,1.0,1.0
15.0,51.0,3.0,63.0,300.0,19.7,1.2,1.0
20.0,42.0,3.0,57.0,400.0,19.0,1.1,1.0
20.0,42.0,3.0,57.0,400.0,18.5,1.8,1.0
30.0,97.0,13.4232,64.4642,400.0,18.7,1.2,1.0
29.0,81.0,20.5632,52.1462,400.0,19.6,1.1,1.0
31.0,76.0,21.9912,52.5568,400.0,19.5,0.0,1.0
33.0,71.0,21.1344,57.6893,400.0,19.8,1.0,1.0
42.0,90.0,19.0,53.0,700.0,20.6,1.4,2.0
42.0,90.0,19.0,53.0,700.0,20.3,1.0,2.0
33.0,53.0,16.0,30.0,700.0,20.9,1.9,2.0
42.0,95.0,16.0,36.0,500.0,22.6,2.5,2.0
40.0,94.0,15.0,37.0,500.0,20.9,2.4,2.0
47.0,115.0,10.0,43.0,500.0,23.0,2.0,2.0
47.0,115.0,10.0,43.0,500.0,23.7,1.4,2.0
48.0,92.0,10.0,46.0,500.0,24.2,0.6,2.0
48.0,159.0,7.0,56.0,500.0,24.4,0.0,2.0
56.0,89.0,1.7136,53.378,500.0,24.7,0.0,3.0
57.0,90.0,3.0,54.0,500.0,23.0,0.8,3.0
57.0,129.0,4.0,59.0,500.0,22.8,1.3,3.0
98.0,260.0,4.5696,133.2397,500.0,23.1,1.1,3.0
99.0,260.0,5.0,134.0,500.0,23.1,1.4,3.0
108.0,185.0,5.0,109.0,500.0,22.9,0.5,3.0
77.0,50.0,5.0,73.0,500.0,22.4,0.9,3.0
40.0,55.0,4.0,57.0,1000.0,22.0,0.5,2.0
44.0,59.0,4.0,55.0,900.0,23.2,1.2,2.0
42.0,44.0,3.0,43.0,400.0,23.3,1.2,2.0
42.0,44.0,3.0,43.0,400.0,23.6,1.2,2.0
34.0,73.0,3.0,41.0,700.0,23.9,1.6,1.0
51.0,131.0,4.0,41.0,1400.0,24.0,1.6,2.0
72.0,165.0,7.0,35.0,1000.0,24.4,1.6,3.0
124.0,244.0,9.0,34.0,1100.0,24.2,1.4,3.0
147.0,218.0,9.0,48.0,1300.0,24.5,2.0,4.0
147.0,185.0,12.0,50.0,1200.0,25.4,2.3,4.0
147.0,185.0,12.0,50.0,1200.0,25.3,2.2,4.0
135.0,212.0,26.0,30.0,1200.0,24.9,2.8,4.0
135.0,212.0,26.0,30.0,1200.0,25.7,1.7,4.0
128.0,143.0,33.0,29.0,1200.0,23.8,2.3,4.0
117.0,103.0,19.992,31.4109,1200.0,23.7,1.5,3.0
99.0,153.0,17.0,44.0,900.0,25.0,1.3,3.0
99.0,153.0,17.0,44.0,900.0,24.9,1.3,3.0
88.0,140.0,6.5688,35.3116,900.0,24.9,1.3,3.0
86.0,110.0,6.0,43.0,800.0,25.1,0.7,3.0
90.0,148.0,4.0,44.0,700.0,25.7,1.2,3.0
90.0,148.0,4.0,44.0,700.0,25.7,0.2,3.0
90.0,145.0,2.856,58.7158,700.0,25.9,0.0,3.0
100.0,138.0,3.0,51.0,700.0,26.0,0.0,3.0
100.0,138.0,3.0,51.0,700.0,25.2,1.6,3.0
183.0,196.0,7.0,42.0,1100.0,25.3,1.3,4.0
183.0,196.0,7.0,42.0,1100.0,25.8,0.8,4.0
235.0,249.0,5.0,67.0,2300.0,26.1,0.7,5.0
235.0,249.0,5.0,67.0,2300.0,25.8,0.9,5.0
210.0,244.0,5.0,50.0,1500.0,26.3,1.0,4.0
210.0,158.0,5.0,50.0,1500.0,26.5,0.5,4.0
245.0,159.0,6.0,47.0,2200.0,27.0,1.6,5.0
260.0,262.0,5.0,51.0,2300.0,27.0,1.1,5.0
260.0,262.0,5.0,51.0,2300.0,27.2,1.1,5.0
249.0,226.0,7.0,36.0,1400.0,27.4,4.3,5.0
209.0,146.0,3.4272,37.1593,1400.0,23.0,3.9,4.0
146.0,146.0,4.0,30.0,1200.0,23.1,0.4,4.0
146.0,146.0,4.0,30.0,1200.0,23.6,0.9,4.0
57.0,6.0,3.0,27.0,1200.0,23.5,1.0,3.0
41.0,5.0,3.0,52.0,800.0,23.2,0.2,2.0
48.0,48.0,3.0,74.0,800.0,23.6,0.7,2.0
48.0,48.0,3.0,74.0,800.0,24.0,0.4,2.0
41.0,6.0,3.0,65.0,800.0,24.1,0.7,2.0
59.0,30.0,0.8568,77.1928,800.0,23.9,1.5,3.0
63.0,9.0,0.2856,65.2854,800.0,23.7,1.5,3.0
56.0,26.0,0.5712,45.3713,800.0,23.2,1.3,3.0
59.0,36.0,0.5712,31.0003,800.0,23.0,2.5,3.0
55.0,17.0,2.2848,16.2187,800.0,22.9,1.2,2.0
52.0,52.0,3.0,16.2187,300.0,23.1,0.9,2.0
52.0,20.0,3.0,12.9339,300.0,23.5,0.4,2.0
47.0,20.0,3.0,13.0,300.0,23.4,1.1,2.0
41.0,9.0,1.428,23.4042,300.0,23.3,1.4,2.0
41.0,9.0,3.0,24.0,300.0,23.5,2.2,2.0
30.0,42.0,4.8552,24.0,300.0,23.3,1.3,1.0
30.0,43.0,5.0,50.7091,300.0,23.6,1.9,1.0
46.0,31.0,4.0,47.0,400.0,23.5,1.5,2.0
46.0,18.0,4.0,47.0,400.0,23.3,2.1,2.0
28.0,45.0,3.0,40.0,400.0,23.7,2.7,1.0
34.0,38.0,4.0,41.0,400.0,23.7,1.9,1.0
49.0,59.0,3.0,41.0,400.0,24.0,1.7,2.0
47.0,57.0,3.0,41.0,400.0,23.8,2.2,2.0
37.0,38.0,3.0,42.0,400.0,24.0,2.0,2.0
47.0,57.0,3.0,50.0,400.0,24.1,1.3,2.0
49.0,52.0,3.0,48.0,400.0,24.4,1.4,2.0
54.0,58.0,3.0,58.0,500.0,23.8,2.4,2.0
59.0,79.0,3.0,54.0,600.0,24.4,1.1,3.0
70.0,86.0,3.0,59.0,700.0,24.3,0.9,3.0
84.0,97.0,4.0,62.0,800.0,24.0,1.5,3.0
94.0,95.0,4.0,64.0,800.0,23.7,1.0,3.0
102.0,104.0,3.0,67.0,800.0,23.7,1.1,3.0
92.0,96.0,3.0,72.0,800.0,23.7,1.5,3.0
103.0,96.0,5.0,64.0,800.0,23.8,1.9,3.0
94.0,77.0,5.0,59.0,700.0,23.7,0.8,3.0
80.0,55.0,4.0,47.0,700.0,23.9,0.8,3.0
86.0,50.0,6.0,50.0,800.0,24.3,0.0,3.0
86.0,68.0,6.0,50.0,900.0,24.5,1.3,3.0
67.0,83.0,9.0,68.0,1000.0,24.4,1.9,3.0
70.0,81.0,13.0,69.0,1000.0,24.6,1.0,3.0
97.0,81.0,14.0,72.0,1000.0,24.5,1.1,3.0
73.0,42.0,12.0,54.0,800.0,24.6,1.5,3.0
75.0,78.0,12.0,47.0,800.0,24.6,0.8,3.0
95.0,108.0,14.0,67.0,1100.0,24.8,0.9,3.0
80.0,63.0,11.0,37.0,700.0,24.8,2.3,3.0
69.0,87.0,11.0,39.0,700.0,25.0,2.0,3.0
87.0,104.0,11.0,41.0,700.0,25.4,1.5,3.0
94.0,141.0,9.0,48.0,700.0,24.9,1.8,3.0
103.0,115.0,9.0,42.0,700.0,25.0,2.5,3.0
104.0,116.0,8.0,48.0,800.0,24.9,2.1,3.0
102.0,129.0,8.0,49.0,900.0,25.3,1.0,3.0
108.0,117.0,8.0,55.0,1000.0,25.4,1.1,3.0
101.0,118.0,8.0,48.0,1000.0,19.3,2.7,3.0
30.0,118.0,5.0,40.0,500.0,21.5,1.4,1.0
29.0,52.0,3.0,52.0,500.0,22.7,1.0,1.0
50.0,98.0,3.0,83.0,600.0,22.5,1.0,2.0
47.0,74.0,4.0,105.0,700.0,22.2,1.4,2.0
40.0,57.0,3.0,116.0,700.0,23.1,0.5,2.0
50.0,84.0,3.0,121.0,700.0,22.9,0.4,2.0
60.0,79.0,5.0,117.0,700.0,22.5,1.7,3.0
54.0,67.0,5.0,114.0,700.0,23.1,0.0,2.0
59.0,90.0,4.0,106.0,700.0,23.1,1.1,3.0
36.0,54.0,3.0,78.0,600.0,24.0,2.1,2.0
52.0,87.0,6.0,94.0,800.0,24.1,1.3,2.0
71.0,113.0,7.0,91.0,900.0,25.2,1.3,3.0
90.0,100.0,8.0,88.0,900.0,24.4,1.0,3.0
91.0,129.0,8.0,97.0,1000.0,24.3,0.6,3.0
85.0,89.0,9.0,83.0,900.0,25.1,1.8,3.0
64.0,68.0,11.0,46.0,600.0,25.5,2.1,3.0
50.0,100.0,11.0,39.0,600.0,26.2,1.9,2.0
71.0,114.0,11.0,37.0,600.0,26.2,2.3,3.0
84.0,95.0,9.0,40.0,600.0,26.1,2.0,3.0
86.0,106.0,9.0,40.0,700.0,25.9,3.4,3.0
87.0,124.0,7.0,57.0,700.0,26.2,1.2,3.0
91.0,113.0,6.0,47.0,700.0,26.2,1.6,3.0
91.0,113.0,6.0,47.0,700.0,26.0,1.7,3.0
93.0,100.0,6.0,50.0,700.0,25.7,1.6,3.0
88.0,100.0,5.0,51.0,700.0,25.6,1.6,3.0
79.0,70.0,6.0,59.0,700.0,25.7,1.0,3.0
80.0,84.0,7.0,59.0,600.0,25.8,1.1,3.0
79.0,84.0,7.0,54.0,600.0,26.0,1.2,3.0
80.0,93.0,6.0,40.0,600.0,25.9,0.4,3.0
88.0,94.0,8.0,40.0,500.0,26.4,0.9,3.0
81.0,87.0,6.0,53.0,600.0,26.3,0.5,3.0
87.0,109.0,6.0,96.0,800.0,26.3,0.9,3.0
77.0,81.0,6.0,75.0,800.0,26.5,1.2,3.0
92.0,120.0,6.0,74.0,900.0,26.5,1.3,3.0
105.0,138.0,6.0,87.0,1100.0,26.8,1.3,3.0
123.0,166.0,8.0,114.0,1800.0,26.7,0.8,3.0
126.0,155.0,8.0,102.0,1400.0,26.5,0.9,4.0
113.0,133.0,9.0,83.0,1400.0,26.7,1.5,3.0
121.0,133.0,9.0,80.0,1100.0,27.0,1.4,3.0
116.0,126.0,10.0,39.0,900.0,26.1,1.5,3.0
127.0,142.0,12.0,46.0,1000.0,26.2,1.5,4.0
128.0,149.0,15.0,48.0,1400.0,26.3,1.2,4.0
126.0,143.0,14.0,54.0,1400.0,26.4,1.6,4.0
145.0,176.0,14.0,41.0,1200.0,26.4,1.1,4.0
164.0,201.0,11.0,46.0,1200.0,26.7,0.8,4.0
177.0,195.0,10.0,51.0,1200.0,26.9,1.2,4.0
186.0,205.0,8.0,45.0,1200.0,27.0,0.8,4.0
206.0,237.0,7.0,49.0,1300.0,27.2,0.0,4.0
206.0,210.0,7.0,38.0,1300.0,27.3,0.9,4.0
197.0,210.0,8.0,43.0,1300.0,25.1,3.0,4.0
113.0,210.0,8.0,35.0,800.0,25.6,1.0,3.0
62.0,29.0,6.0,31.0,600.0,26.2,0.5,3.0
76.0,43.0,6.0,41.0,700.0,26.3,0.9,3.0
66.0,5.0,5.0,35.0,600.0,26.0,0.4,3.0
47.0,53.0,4.0,44.0,700.0,25.7,0.7,2.0
68.0,53.0,4.0,52.0,700.0,25.0,1.3,3.0
56.0,63.0,5.0,54.0,700.0,25.2,1.2,3.0
56.0,63.0,5.0,54.0,900.0,25.0,2.1,3.0
87.0,118.0,7.0,72.0,1100.0,25.5,1.5,3.0
93.0,127.0,8.0,68.0,1400.0,26.1,2.2,3.0
105.0,118.0,8.0,61.0,1100.0,26.4,0.4,3.0
127.0,169.0,8.0,43.0,1000.0,27.3,0.8,4.0
146.0,169.0,8.0,36.0,1000.0,27.2,1.1,4.0
159.0,184.0,9.0,42.0,1200.0,27.5,1.2,4.0
164.0,223.0,8.0,55.0,1600.0,27.5,0.6,4.0
168.0,228.0,9.0,70.0,2000.0,27.7,0.7,4.0
